U+0300	̀	cc 80	COMBINING GRAVE ACCENT
U+0301	́	cc 81	COMBINING ACUTE ACCENT
U+0302	̂	cc 82	COMBINING CIRCUMFLEX ACCENT
U+0303	̃	cc 83	COMBINING TILDE
U+0304	̄	cc 84	COMBINING MACRON
U+0305	̅	cc 85	COMBINING OVERLINE
U+0306	̆	cc 86	COMBINING BREVE
U+0307	̇	cc 87	COMBINING DOT ABOVE
U+0308	̈	cc 88	COMBINING DIAERESIS
U+0309	̉	cc 89	COMBINING HOOK ABOVE
U+030A	̊	cc 8a	COMBINING RING ABOVE
U+030B	̋	cc 8b	COMBINING DOUBLE ACUTE ACCENT
U+030C	̌	cc 8c	COMBINING CARON
U+030D	̍	cc 8d	COMBINING VERTICAL LINE ABOVE
U+030E	̎	cc 8e	COMBINING DOUBLE VERTICAL LINE ABOVE
U+030F	̏	cc 8f	COMBINING DOUBLE GRAVE ACCENT
U+0310	̐	cc 90	COMBINING CANDRABINDU
U+0311	̑	cc 91	COMBINING INVERTED BREVE
U+0312	̒	cc 92	COMBINING TURNED COMMA ABOVE
U+0313	̓	cc 93	COMBINING COMMA ABOVE
U+0314	̔	cc 94	COMBINING REVERSED COMMA ABOVE
U+0315	̕	cc 95	COMBINING COMMA ABOVE RIGHT
U+0316	̖	cc 96	COMBINING GRAVE ACCENT BELOW
U+0317	̗	cc 97	COMBINING ACUTE ACCENT BELOW
U+0318	̘	cc 98	COMBINING LEFT TACK BELOW
U+0319	̙	cc 99	COMBINING RIGHT TACK BELOW
U+031A	̚	cc 9a	COMBINING LEFT ANGLE ABOVE
U+031B	̛	cc 9b	COMBINING HORN
U+031C	̜	cc 9c	COMBINING LEFT HALF RING BELOW
U+031D	̝	cc 9d	COMBINING UP TACK BELOW
U+031E	̞	cc 9e	COMBINING DOWN TACK BELOW
U+031F	̟	cc 9f	COMBINING PLUS SIGN BELOW
U+0320	̠	cc a0	COMBINING MINUS SIGN BELOW
U+0321	̡	cc a1	COMBINING PALATALIZED HOOK BELOW
U+0322	̢	cc a2	COMBINING RETROFLEX HOOK BELOW
U+0323	̣	cc a3	COMBINING DOT BELOW
U+0324	̤	cc a4	COMBINING DIAERESIS BELOW
U+0325	̥	cc a5	COMBINING RING BELOW
U+0326	̦	cc a6	COMBINING COMMA BELOW
U+0327	̧	cc a7	COMBINING CEDILLA
U+0328	̨	cc a8	COMBINING OGONEK
U+0329	̩	cc a9	COMBINING VERTICAL LINE BELOW
U+032A	̪	cc aa	COMBINING BRIDGE BELOW
U+032B	̫	cc ab	COMBINING INVERTED DOUBLE ARCH BELOW
U+032C	̬	cc ac	COMBINING CARON BELOW
U+032D	̭	cc ad	COMBINING CIRCUMFLEX ACCENT BELOW
U+032E	̮	cc ae	COMBINING BREVE BELOW
U+032F	̯	cc af	COMBINING INVERTED BREVE BELOW
U+0330	̰	cc b0	COMBINING TILDE BELOW
U+0331	̱	cc b1	COMBINING MACRON BELOW
U+0332	̲	cc b2	COMBINING LOW LINE
U+0333	̳	cc b3	COMBINING DOUBLE LOW LINE
U+0334	̴	cc b4	COMBINING TILDE OVERLAY
U+0335	̵	cc b5	COMBINING SHORT STROKE OVERLAY
